,website,country,category,subcategory,price,brand,form,type,rating,count of ratings
0,Flipkart,India,body,perfume,599.0,Carlton London,aerosol,all,3.9,19
1,Flipkart,India,body,perfume,149.0,Charlene,aerosol,all,4.4,4031
2,Flipkart,India,body,perfume,298.0,Charlene,aerosol,all,4.4,4072
3,Flipkart,India,body,perfume,245.0,Denver,aerosol,all,4.2,61
4,Flipkart,India,body,perfume,422.0,Denver,aerosol,all,4.3,342
5,Flipkart,India,body,perfume,422.0,Engage,aerosol,all,4.4,13101
6,Flipkart,India,body,perfume,422.0,Engage,aerosol,all,4.3,515
7,Flipkart,India,body,perfume,422.0,Engage,aerosol,all,4.5,9665
8,Flipkart,India,body,perfume,422.0,Engage,aerosol,all,4.3,54
9,Flipkart,India,body,perfume,236.0,Envy,aerosol,all,4.2,842
10,Flipkart,India,body,perfume,249.0,Envy,aerosol,all,4.1,396
11,Flipkart,India,body,perfume,289.0,Envy,aerosol,all,4.3,4349
12,Flipkart,India,body,perfume,101.0,FOGG,aerosol,all,4.3,180
13,Flipkart,India,body,perfume,114.0,KS WOMAN,aerosol,all,4.2,163
14,Flipkart,India,body,perfume,475.0,LA' French,aerosol,all,4.2,358
15,Flipkart,India,body,perfume,540.0,LA' French,aerosol,all,4.2,524
16,Flipkart,India,body,perfume,212.0,Park Avenue,aerosol,all,4.1,41
17,ulta,USA,body,bodywash,980.4,Ahava,cream,all,4.7,28
18,ulta,USA,body,bodywash,980.4,Ahava,cream,all,4.0,1
19,ulta,USA,body,bodywash,1960.8,Ahava,cream,all,4.86649383769435,0
20,ulta,USA,body,bodywash,1960.8,Ahava,cream,all,4.7,13
21,ulta,USA,body,bodywash,1960.8,Ahava,cream,all,4.7,301
22,ulta,USA,body,bodywash,2124.2,Ahava,cream,all,4.5,39
23,ulta,USA,body,bodywash,3676.5,Ahava,cream,all,4.4,21
24,ulta,USA,body,bodywash,1061.28,Alpha Skin Care,cream,all,4.5,23
25,ulta,USA,body,bodywash,1184.65,American Crew,cream,all,4.7,24
26,ulta,USA,body,bodywash,1552.3,American Crew,cream,all,4.7,59
27,ulta,USA,body,bodywash,2451.0,Ariana Grande,cream,all,3.9,54
28,ulta,USA,body,bodywash,1429.75,Babo Botanicals,cream,all,4.7,57
29,ulta,USA,body,bodywash,1429.75,Babo Botanicals,cream,all,4.8,30
30,ulta,USA,body,bodywash,1429.75,Babo Botanicals,cream,all,4.7,57
31,ulta,USA,body,bodywash,1429.75,Babo Botanicals,cream,all,4.3,43
32,ulta,USA,body,bodywash,1944.46,Baxter of California,cream,all,4.1,9
33,ulta,USA,body,bodywash,612.75,Beast,cream,all,4.7,10
34,ulta,USA,body,bodywash,1225.5,Beast,cream,all,4.6,21
35,ulta,USA,body,bodywash,1429.75,Beast,cream,all,4.8,100
36,ulta,USA,body,bodywash,1429.75,Beast,cream,all,4.8,195
37,ulta,USA,body,bodywash,2205.9,Beast,cream,all,4.5,67
38,ulta,USA,body,bodywash,1307.2,Beekman 1802,cream,all,4.9,1489
39,ulta,USA,body,bodywash,2369.3,Beekman 1802,cream,all,4.8,227
40,ulta,USA,body,bodywash,3104.6,Beekman 1802,cream,all,4.8,169
41,ulta,USA,body,bodywash,898.7,Bliss,cream,all,4.6,252
42,ulta,USA,body,bodywash,1797.4,Bliss,cream,all,4.8,651
43,ulta,USA,body,bodywash,3186.3,boscia,cream,all,4.6,76
44,ulta,USA,body,bodywash,2042.5,Briogeo,cream,all,4.8,95
45,ulta,USA,body,bodywash,1879.1,Bushbalm,cream,all,4.2,55
46,ulta,USA,body,bodywash,1879.1,Bushbalm,cream,all,4.7,148
47,ulta,USA,body,bodywash,2369.3,Buttah Skin,cream,all,4.8,192
48,ulta,USA,body,bodywash,6127.5,Buttah Skin,cream,all,4.6,287
49,ulta,USA,body,bodywash,1020.43,Carbon Theory.,cream,all,4.8,359
50,ulta,USA,body,sunscreen,2041.93,Cetaphil,cream,"combinational,dry,sensitive,normal",4.3,91
51,ulta,USA,body,bodywash,2777.8,Cï¿½ï¿½,cream,all,4.2,38
52,ulta,USA,body,bodywash,2859.5,Cï¿½ï¿½,cream,all,4.1,7
53,ulta,USA,body,bodywash,3022.9,Cï¿½ï¿½,cream,all,3.7,9
54,ulta,USA,body,moisturizer,5392.86,Clarins,cream,"combination, dry, normal, oily",4.6,132
55,ulta,USA,body,bodywash,1593.15,Clinique,cream,all,4.6,641
56,ulta,USA,body,sunscreen,1879.33,Clinique,cream,"combination, dry, normal, oily",4.3,182
57,ulta,USA,body,bodywash,2777.8,Clinique,cream,all,4.4,7
