,website,country,category,subcategory,price,brand,form,type,rating,count of ratings,Cluster
0,Flipkart,India,body,perfume,7.188,Carlton London,aerosol,all,3.9,19,dark purple
1,Flipkart,India,body,perfume,1.788,Charlene,aerosol,all,4.4,4031,dark purple
2,Flipkart,India,body,perfume,3.576,Charlene,aerosol,all,4.4,4072,dark purple
3,Flipkart,India,body,perfume,2.94,Denver,aerosol,all,4.2,61,dark purple
4,Flipkart,India,body,perfume,5.064,Denver,aerosol,all,4.3,342,dark purple
5,Flipkart,India,body,perfume,5.064,Engage,aerosol,all,4.4,13101,dark purple
6,Flipkart,India,body,perfume,5.064,Engage,aerosol,all,4.3,515,dark purple
7,Flipkart,India,body,perfume,5.064,Engage,aerosol,all,4.5,9665,cyan
8,Flipkart,India,body,perfume,5.064,Engage,aerosol,all,4.3,54,dark purple
9,Flipkart,India,body,perfume,2.832,Envy,aerosol,all,4.2,842,dark purple
10,Flipkart,India,body,perfume,2.988,Envy,aerosol,all,4.1,396,dark purple
11,Flipkart,India,body,perfume,3.468,Envy,aerosol,all,4.3,4349,dark purple
12,Flipkart,India,body,perfume,1.212,FOGG,aerosol,all,4.3,180,dark purple
13,Flipkart,India,body,perfume,1.368,KS WOMAN,aerosol,all,4.2,163,dark purple
14,Flipkart,India,body,perfume,5.7,LA' French,aerosol,all,4.2,358,dark purple
15,Flipkart,India,body,perfume,6.48,LA' French,aerosol,all,4.2,524,dark purple
16,Flipkart,India,body,perfume,2.544,Park Avenue,aerosol,all,4.1,41,dark purple
17,ulta,USA,body,bodywash,11.7648,Ahava,cream,all,4.7,28,cyan
18,ulta,USA,body,bodywash,11.7648,Ahava,cream,all,4.0,1,dark purple
19,ulta,USA,body,bodywash,23.5296,Ahava,cream,all,4.86649383769435,0,cyan
20,ulta,USA,body,bodywash,23.5296,Ahava,cream,all,4.7,13,cyan
21,ulta,USA,body,bodywash,23.5296,Ahava,cream,all,4.7,301,cyan
22,ulta,USA,body,bodywash,25.490399999999998,Ahava,cream,all,4.5,39,cyan
23,ulta,USA,body,bodywash,44.118,Ahava,cream,all,4.4,21,dark purple
24,ulta,USA,body,bodywash,12.73536,Alpha Skin Care,cream,all,4.5,23,cyan
25,ulta,USA,body,bodywash,14.215800000000002,American Crew,cream,all,4.7,24,cyan
26,ulta,USA,body,bodywash,18.6276,American Crew,cream,all,4.7,59,cyan
27,ulta,USA,body,bodywash,29.412,Ariana Grande,cream,all,3.9,54,dark purple
28,ulta,USA,body,bodywash,17.157,Babo Botanicals,cream,all,4.7,57,cyan
29,ulta,USA,body,bodywash,17.157,Babo Botanicals,cream,all,4.8,30,cyan
30,ulta,USA,body,bodywash,17.157,Babo Botanicals,cream,all,4.7,57,cyan
31,ulta,USA,body,bodywash,17.157,Babo Botanicals,cream,all,4.3,43,dark purple
32,ulta,USA,body,bodywash,23.33352,Baxter of California,cream,all,4.1,9,dark purple
33,ulta,USA,body,bodywash,7.353,Beast,cream,all,4.7,10,cyan
34,ulta,USA,body,bodywash,14.706,Beast,cream,all,4.6,21,cyan
35,ulta,USA,body,bodywash,17.157,Beast,cream,all,4.8,100,cyan
36,ulta,USA,body,bodywash,17.157,Beast,cream,all,4.8,195,cyan
37,ulta,USA,body,bodywash,26.4708,Beast,cream,all,4.5,67,cyan
38,ulta,USA,body,bodywash,15.6864,Beekman 1802,cream,all,4.9,1489,cyan
39,ulta,USA,body,bodywash,28.431600000000003,Beekman 1802,cream,all,4.8,227,cyan
40,ulta,USA,body,bodywash,37.2552,Beekman 1802,cream,all,4.8,169,cyan
41,ulta,USA,body,bodywash,10.784400000000002,Bliss,cream,all,4.6,252,cyan
42,ulta,USA,body,bodywash,21.568800000000003,Bliss,cream,all,4.8,651,cyan
43,ulta,USA,body,bodywash,38.235600000000005,boscia,cream,all,4.6,76,cyan
44,ulta,USA,body,bodywash,24.51,Briogeo,cream,all,4.8,95,cyan
45,ulta,USA,body,bodywash,22.5492,Bushbalm,cream,all,4.2,55,dark purple
46,ulta,USA,body,bodywash,22.5492,Bushbalm,cream,all,4.7,148,cyan
47,ulta,USA,body,bodywash,28.431600000000003,Buttah Skin,cream,all,4.8,192,cyan
48,ulta,USA,body,bodywash,73.53,Buttah Skin,cream,all,4.6,287,green
